GloveManager recording started on 09/23/16 at 16:29:57

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018001,1872,2468,971,2203,3077,1847,1260,2697,2500,2935,2321,1774,2077,3179,,0.789116,0.742424,0.384798,0.057971,0.046083,0.279874,0.025261,0.003960,0.254335,0.313208,0.026437,0.476712,0.434783,0.830010
0.018001,1871,2468,970,2203,3077,1848,1260,2697,2500,2935,2321,1773,2076,3179,,0.787755,0.742424,0.383610,0.057971,0.046083,0.281447,0.025261,0.003960,0.254335,0.313208,0.026437,0.475342,0.433722,0.830010
0.018028,1871,2467,970,2203,3076,1849,1260,2697,2501,2935,2320,1774,2077,3180,,0.787755,0.739899,0.383610,0.057971,0.043779,0.283019,0.025261,0.003960,0.255780,0.313208,0.025287,0.476712,0.434783,0.831060
0.018000,1870,2466,970,2203,3077,1848,1260,2697,2500,2934,2320,1774,2076,3179,,0.786395,0.737374,0.383610,0.057971,0.046083,0.281447,0.025261,0.003960,0.254335,0.309434,0.025287,0.476712,0.433722,0.830010
0.017974,1870,2465,970,2203,3077,1848,1260,2696,2501,2934,2320,1774,2077,3180,,0.786395,0.734848,0.383610,0.057971,0.046083,0.281447,0.025261,0.002970,0.255780,0.309434,0.025287,0.476712,0.434783,0.831060
0.018028,1870,2466,970,2203,3077,1848,1260,2697,2502,2934,2320,1774,2076,3180,,0.786395,0.737374,0.383610,0.057971,0.046083,0.281447,0.025261,0.003960,0.257225,0.309434,0.025287,0.476712,0.433722,0.831060
0.017972,1871,2466,971,2203,3077,1847,1260,2696,2502,2934,2320,1773,2076,3179,,0.787755,0.737374,0.384798,0.057971,0.046083,0.279874,0.025261,0.002970,0.257225,0.309434,0.025287,0.475342,0.433722,0.830010
0.018003,1870,2467,970,2204,3078,1846,1261,2696,2502,2934,2319,1774,2077,3179,,0.786395,0.739899,0.383610,0.060041,0.048387,0.278302,0.026132,0.002970,0.257225,0.309434,0.024138,0.476712,0.434783,0.830010
0.017998,1870,2467,970,2203,3076,1848,1260,2696,2502,2935,2319,1774,2077,3180,,0.786395,0.739899,0.383610,0.057971,0.043779,0.281447,0.025261,0.002970,0.257225,0.313208,0.024138,0.476712,0.434783,0.831060
0.018001,1870,2466,971,2204,3078,1847,1260,2696,2501,2934,2319,1774,2077,3180,,0.786395,0.737374,0.384798,0.060041,0.048387,0.279874,0.025261,0.002970,0.255780,0.309434,0.024138,0.476712,0.434783,0.831060
0.017980,1869,2465,972,2203,3078,1848,1261,2696,2502,2934,2319,1774,2076,3181,,0.785034,0.734848,0.385986,0.057971,0.048387,0.281447,0.026132,0.002970,0.257225,0.309434,0.024138,0.476712,0.433722,0.832109
0.018044,1870,2465,972,2204,3077,1847,1260,2696,2501,2934,2318,1773,2077,3181,,0.786395,0.734848,0.385986,0.060041,0.046083,0.279874,0.025261,0.002970,0.255780,0.309434,0.022989,0.475342,0.434783,0.832109
0.018002,1869,2465,973,2204,3076,1848,1261,2696,2503,2935,2318,1773,2077,3180,,0.785034,0.734848,0.387173,0.060041,0.043779,0.281447,0.026132,0.002970,0.258671,0.313208,0.022989,0.475342,0.434783,0.831060
0.017978,1868,2466,973,2205,3075,1848,1260,2696,2502,2934,2319,1774,2077,3180,,0.783673,0.737374,0.387173,0.062112,0.041475,0.281447,0.025261,0.002970,0.257225,0.309434,0.024138,0.476712,0.434783,0.831060
0.018001,1870,2464,972,2204,3077,1848,1260,2697,2503,2934,2319,1774,2077,3180,,0.786395,0.732323,0.385986,0.060041,0.046083,0.281447,0.025261,0.003960,0.258671,0.309434,0.024138,0.476712,0.434783,0.831060
0.018024,1868,2465,973,2204,3077,1847,1260,2696,2502,2934,2318,1774,2076,3180,,0.783673,0.734848,0.387173,0.060041,0.046083,0.279874,0.025261,0.002970,0.257225,0.309434,0.022989,0.476712,0.433722,0.831060
0.018004,1869,2465,973,2204,3076,1848,1260,2696,2502,2935,2319,1774,2076,3181,,0.785034,0.734848,0.387173,0.060041,0.043779,0.281447,0.025261,0.002970,0.257225,0.313208,0.024138,0.476712,0.433722,0.832109
0.017973,1869,2465,974,2204,3077,1849,1260,2696,2502,2934,2319,1775,2077,3181,,0.785034,0.734848,0.388361,0.060041,0.046083,0.283019,0.025261,0.002970,0.257225,0.309434,0.024138,0.478082,0.434783,0.832109
0.018027,1867,2465,973,2205,3077,1848,1261,2696,2503,2934,2318,1775,2076,3181,,0.782313,0.734848,0.387173,0.062112,0.046083,0.281447,0.026132,0.002970,0.258671,0.309434,0.022989,0.478082,0.433722,0.832109
0.017999,1867,2463,973,2203,3077,1848,1261,2696,2503,2934,2318,1775,2076,3181,,0.782313,0.729798,0.387173,0.057971,0.046083,0.281447,0.026132,0.002970,0.258671,0.309434,0.022989,0.478082,0.433722,0.832109
0.017978,1867,2463,974,2205,3077,1849,1260,2696,2503,2935,2318,1774,2075,3181,,0.782313,0.729798,0.388361,0.062112,0.046083,0.283019,0.025261,0.002970,0.258671,0.313208,0.022989,0.476712,0.432662,0.832109
0.018000,1865,2462,974,2205,3077,1849,1261,2697,2504,2935,2317,1775,2075,3181,,0.779592,0.727273,0.388361,0.062112,0.046083,0.283019,0.026132,0.003960,0.260116,0.313208,0.021839,0.478082,0.432662,0.832109
0.018029,1865,2462,973,2207,3077,1849,1261,2695,2504,2935,2318,1775,2075,3181,,0.779592,0.727273,0.387173,0.066253,0.046083,0.283019,0.026132,0.001980,0.260116,0.313208,0.022989,0.478082,0.432662,0.832109
0.017998,1864,2462,974,2207,3075,1849,1260,2695,2505,2935,2318,1776,2075,3179,,0.778231,0.727273,0.388361,0.066253,0.041475,0.283019,0.025261,0.001980,0.261561,0.313208,0.022989,0.479452,0.432662,0.830010
0.018006,1863,2463,974,2206,3078,1848,1261,2696,2504,2934,2317,1776,2074,3179,,0.776871,0.729798,0.388361,0.064182,0.048387,0.281447,0.026132,0.002970,0.260116,0.309434,0.021839,0.479452,0.431601,0.830010
0.017970,1864,2463,975,2207,3077,1850,1261,2694,2505,2934,2318,1776,2076,3178,,0.778231,0.729798,0.389549,0.066253,0.046083,0.284591,0.026132,0.000990,0.261561,0.309434,0.022989,0.479452,0.433722,0.828961
0.018002,1863,2463,975,2208,3076,1849,1262,2695,2505,2936,2317,1775,2077,3180,,0.776871,0.729798,0.389549,0.068323,0.043779,0.283019,0.027003,0.001980,0.261561,0.316981,0.021839,0.478082,0.434783,0.831060
0.018024,1864,2462,976,2208,3077,1851,1263,2695,2505,2935,2317,1776,2078,3180,,0.778231,0.727273,0.390736,0.068323,0.046083,0.286164,0.027875,0.001980,0.261561,0.313208,0.021839,0.479452,0.435843,0.831060
0.017976,1864,2461,977,2207,3078,1849,1263,2696,2503,2935,2318,1777,2078,3178,,0.778231,0.724747,0.391924,0.066253,0.048387,0.283019,0.027875,0.002970,0.258671,0.313208,0.022989,0.480822,0.435843,0.828961
0.018028,1863,2462,977,2207,3078,1849,1262,2695,2504,2935,2317,1777,2079,3178,,0.776871,0.727273,0.391924,0.066253,0.048387,0.283019,0.027003,0.001980,0.260116,0.313208,0.021839,0.480822,0.436904,0.828961
